,InstrumentTicker,InstrumentLongName,bicsSector,bicsIndustry,bicsSubIndustry,Momentum,Size,Quality,Value,Volatility,Yield
2,SCHW,SCHWAB CHARLES CORP COM,Financials,Asset Management,Wealth Management,-0.9188844565752877,0.30549908182719687,-0.5781245774286886,0.20286657657350138,-0.19521794281565266,-0.4888609908518554
3,RHI,ROBERT HALF INTL INC COM,Consumer Discretionary,Commercial Services,Professional Services,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
6,ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Institutional Financial Svcs,Security & Cmdty Exchanges,1.0835619565857326,0.3320004105686011,-0.9717916500273306,0.17704373186731517,-0.08367991474885803,-0.22814270130129732
9,MSFT,MICROSOFT CORP COM,Technology,Software,Infrastructure Software,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
10,IBKR,INTERACTIVE BROKERS COM,Financials,Institutional Financial Svcs,Institutional Brokerage,0.009033251098956098,-0.024734522927831792,0.008661020730891936,0.01946702107367169,-0.02493470883382462,-0.01518232801483376
11,FRC,FIRST REP BK SAN FRANCISCO CAL,Financials,Banking,Banks,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
13,ADP,AUTOMATIC DATA PROCE COM,Technology,Technology Services,Payment & Data Processors,-0.1813224386467877,0.4447775717545577,0.6078030030104042,-0.06819568451657108,-0.12674288602782238,-0.044962699719138334
15,RJF,RAYMOND JAMES FINANC COM,Financials,Asset Management,Wealth Management,0.6443917615107647,-0.2764589879467062,0.34639897239277295,-0.15181394907153395,0.033424294507347393,-0.498859141803705
16,CMCSA,COMCAST CORP NEW CL A,Communications,Media,Cable & Satellite,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
20,TROW,PRICE T ROWE GROUP I COM,Financials,Asset Management,Investment Management,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
21,LIN,LINDE PLC,Materials,Chemicals,Basic & Diversified Chemicals,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
22,AMTD,TD AMERITRADE HLDG C COM,Financials,Asset Management,Wealth Management,0.3015924483613936,-0.10156990836939694,0.2577086672285911,0.00734843571905039,0.08698952180682905,0.9421731486110589
25,BMY,BRISTOL MYERS SQUIBB COM,Health Care,Biotech & Pharma,Large Pharma,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
26,ACN,ACCENTURE PLC IRELAN SHS CLASS A,Technology,Technology Services,IT Services,0.12475784521318692,0.9227416829067454,0.7856193076859783,0.5528027759312507,-0.5415767143824519,-0.0028086819037884824
28,ODFL,OLD DOMINION FGHT LI COM,Industrials,Transportation & Logistics,Trucking,1.0040261530707972,0.038642325780847996,0.4858915831770286,0.45060993985345243,0.25141440993189973,-0.30582250373979386
